microns,Back,Si,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Kr,Rb,Sr,HgL,,Compton,elastic,sum,Flux0,Flux1
        190.0000000000000,6028.051,-31526.87,-3277.743,-2864.881,1673.963,-207.3156,96.66395,32.32534,-18.68366,5.471206,-7.781614,391.0028,5.467557,9.99801,351.0467,-1.039535,6.705068,-2.01698,-0.01670338,10.32745,8.146677,,2326200,489192.6,-1015.364,   3.456648E+08,   2.134618E+08
        200.0000000000000,6430.37,-63905.91,-4256.69,-2885.481,1591.762,-369.2866,209.531,-19.20567,-16.76543,4.568196,-5.128356,362.8392,-5.026443,10.14031,323.0147,-2.405967,7.285651,0.137018,0.3850014,9.512261,8.857348,,2321063,494426.9,-1308.229,   3.456648E+08,   2.135202E+08
        210.0000000000000,6058.392,-41299.47,-5252.18,-2850.759,1481.452,-365.2775,81.54451,-85.29436,-5.498416,1.770674,-4.740026,391.3221,4.744721,13.58566,363.147,-2.102901,10.51332,-1.61234,0.2365926,9.326921,10.81128,,2467502,481582.5,-871.675,   3.456648E+08,   2.139225E+08
        220.0000000000000,4792.372,5464.751,-1509.194,-2704.352,2729.755,-312.3514,141.5391,-14.09951,-5.748548,4.267289,12.0933,367.4562,0.6944122,11.43674,346.5003,-0.0364693,10.5498,0.00089051,1.359288,9.107468,9.469792,,2334819,513023,-721.6448,   3.456648E+08,   2.146869E+08
        230.0000000000000,4809.938,21336.1,-3304.732,-2571.716,2997.025,-455.1707,197.7654,11.52236,-4.171347,29.57518,-17.53672,356.042,4.331719,15.68441,363.876,1.991608,3.794498,-1.260665,-0.3853516,6.954241,21.25281,,2451957,509070.9,-640.1428,   3.456648E+08,   2.138095E+08
        240.0000000000000,6419.166,-37495.2,-3488.827,-3690.817,2391.619,-469.5504,-15.82038,-57.5008,-15.14764,7.654415,-12.13632,341.1852,-2.413491,12.01549,355.3364,-0.7447215,7.271063,-3.217577,1.37475,9.034675,9.799609,,2296786,506015.3,-1063.749,   3.456648E+08,   2.140448E+08
        250.0000000000000,5880.42,-55438.09,-4066.745,-1827.212,1811.492,-465.3441,120.4082,-43.98196,-2.945982,20.55409,-7.358563,334.0816,-7.072859,6.878403,361.876,0.8969244,7.282673,-2.102453,-1.243997,8.837336,16.57825,,2423598,514253.1,-1109.974,   3.456648E+08,   2.140127E+08
        260.0000000000000,5215.285,-17780.81,-3523.793,-3821.647,2397.076,-491.8568,239.6893,-7.910998,-2.017205,6.950861,6.159676,324.2855,1.295727,14.55739,355.9626,0.7703415,8.466551,-1.35496,0.3501078,8.155271,11.60984,,2489929,548564.3,-704.9546,   3.456648E+08,   2.141082E+08
        270.0000000000000,6303.779,-41606.84,-6430.131,-2426.948,1633.329,-153.0221,167.5141,-2.695221,13.50619,-2.851777,-2.6344,328.8867,1.158005,10.92786,377.9703,1.275725,15.86053,-1.471446,-1.857315,4.385335,14.32883,,2445228,509760,-1179.104,   3.456648E+08,   2.142439E+08
        280.0000000000000,5325.983,3569.22,-2933.469,-2235.229,2379.011,-214.7005,371.9578,8.36417,-9.124066,17.56751,-8.089261,355.6084,-5.306909,13.88496,363.5312,-0.2284746,12.30143,-0.9924622,1.310225,2.57959,14.3725,,2396441,531907.8,-914.8285,   3.456648E+08,   2.141617E+08
